Provinsi,2018,2019,2020
Aceh,832,810,815
Sumatera Utara,1292,1261,1283
Sumatera Barat,353,343,344
Riau,494,484,483
Jambi,281,273,278
Sumatera Selatan,1076,1067,1082
Bengkulu,304,298,303
Lampung,1092,1041,1049
Kep. Bangka Belitung,70,67,68
Kepulauan Riau,125,128,132
DKI Jakarta,372,362,481
Jawa Barat,3539,3376,3920
Jawa Tengah,3867,3679,3981
DI Yogyakarta,450,441,476
Jawa Timur,4292,4056,4419
Banten,669,641,776
Bali,168,157,165
Nusa Tenggara Barat,736,706,714
Nusa Tenggara Timur,1134,1129,1154
Kalimantan Barat,370,370,367
Kalimantan Tengah,136,131,133
Kalimantan Selatan,195,190,188
Kalimantan Timur,222,221,230
Kalimantan Utara,50,49,52
Sulawesi Utara,189,189,192
Sulawesi Tengah,413,404,399
Sulawesi Selatan,780,760,777
Sulawesi Tenggara,302,300,302
Gorontalo,188,185,185
Sulawesi Barat,153,152,152
Maluku,318,320,318
Maluku Utara,82,87,86
Papua Barat,214,208,209
Papua,915,901,911
Indonesia,25675,24786,26424
