Provinsi,Poverty Rate
Aceh,14.922613214001737
Sumatera Utara,8.388906531173918
Sumatera Barat,5.939084494557316
Riau,7.332486695694243
Kepulauan Riau,6.973116799706395
Jambi,7.683622042907108
Sumatera Selatan,12.07115628970775
Kepulauan Bangka Belitung,4.4828047638164055
Bengkulu,14.416775884665793
Lampung,10.919076782250507
DKI Jakarta,4.700374531835206
Jawa Barat,8.23992324787778
Banten,6.643813254978779
Jawa Tengah,10.344995193398214
DI Yogyakarta,12.094952018926607
Jawa Timur,10.160388821385176
Kalimantan Barat,6.316093405998484
Kalimantan Tengah,5.289847141658458
Kalimantan Selatan,4.686640682910499
Kalimantan Timur,6.1143064407482255
Kalimantan Utara,6.732618851332783
Sulawesi Utara,6.956194773453657
Gorontalo,15.511025404544313
Sulawesi Tengah,12.654512246828217
Sulawesi Selatan,8.422033861562142
Sulawesi Barat,11.38077608665844
Sulawesi Tenggara,11.4742569493282
Bali,4.665805984009422
Nusa Tenggara Barat,13.373038347004767
Nusa Tenggara Timur,20.708706071748715
Maluku,15.464739331455599
Maluku Utara,6.063821723641325
Papua Barat,18.507563593340656
Papua,20.86633775403974
Indonesia,9.486397910171307
